키워드,주소,위도,경도
이태원 관광특구,서울 용산구 이태원동 116-3,37.53842,126.992
명동 남대문 북창동 다동 무교동 관광특구,서울 중구 을지로6가 21-31,37.56719,127.00646
동대문패션타운 관광특구,서울 종로구 구기동 139,37.609029,126.9573925
종로·청계 관광특구,서울 종로구 서린동,37.56925,126.97959
잠실 관광특구,서울 종로구 신영동 219-4,37.60277,126.9616
강남 마이스 관광특구,서울 종로구 행촌동 171-1,37.57425,126.96215
이북5도청사,서울 종로구 신영동 168-6,37.60277,126.9616
독립문역 1번,서울 종로구 부암동 265-21,37.5949602,126.9657272
세검정초등학교,서울 종로구 사직동 304-28,37.5738317,126.97030324117736
대신고등학교,서울 종로구 옥인동 168-2,37.58348,126.96385
세검정,서울 종로구 청운동,37.58895,126.96784
사직공원(한국사회과학도서관),서울 종로구 신문로2가 1-101,37.57073,126.96859
자하문터널,서울 종로구 청운동 89-9,37.58895,126.96784
평창동서측,서울 종로구 효자동 150,37.58247,126.97168
성곡미술관,서울 종로구 계동 1,37.5811587,126.9874149
체부동홍종문가옥,서울 종로구 와룡동 2-71,37.581572,126.9922844
경복고등학교,서울 종로구 명륜1가 1-27,37.58861,126.99689
청와대사랑채,서울 종로구 명륜3가 53-21,37.58659,126.99398
평창동동측,대구 수성구 범어동 100-5,35.8593608,128.6320249
정독도서관,서울 종로구 연건동 28-21,37.5784056,126.9999208
중앙고등학교,서울 종로구 운니동 114-2,37.57603,126.98793
창덕궁,서울 종로구 동숭동 1-13,37.58096,127.0051932
서울국제고등학교,서울 종로구 이화동 9-244,37.57663,127.00515
성균관대학교,서울 종로구 창신동 442-1,37.57595,127.01313
경신고등학교,서울 종로구 창신동 204-14,37.57595,127.01313
서울대병원,서울 종로구 창신동 442-1,37.57595,127.01313
혜회동주민센터,서울 종로구 창신동,37.57595,127.01313
충신시장옆,서울 종로구 명륜4가 7,37.58214,126.99977
종로5가역 4번,서울 종로구 창신동 401-3,37.57595,127.01313
혜화역 1번,서울 종로구 숭인동 117,37.57648,127.01848
이화달팽이길,서울 종로구 숭인동 81-39,37.57648,127.01848
동대문역 1번,서울 종로구 숭인동 1304,37.57648,127.01848
동대문역 3번,서울 중구 정동 22,37.5661683,126.9726202
창신역 1번,서울 중구 회현동1가 192-1,37.55689,126.98138
창신역 4번,경남 통영시 정량동 232,34.847762,128.437887
창신1동주민센터,서울 중구 장충동2가 186-140,37.5541467,127.0002445
동묘앞역 2번,서울 종로구 낙원동 172,37.57221,126.98762
동묘앞역 3번,서울 중구 신당동 366-454,37.565196900000004,127.01321661206495
신설동역 12번,서울 중구 장충동2가,37.5541467,127.0002445
경향신문사,서울 중구 장충동1가 37-14,37.56041,127.00706
회현역 1번,서울 성동구 옥수동 301,37.54176,127.01648
중구회현체육센터(정화예술대남산캠퍼스),서울 중구 신당동,37.565196900000004,127.01321661206495
남산케이블카,서울 중구 신당동 386-86,37.565196900000004,127.01321661206495
남산골공원옆,서울 중구 신당동 295-25,37.565196900000004,127.01321661206495
충무초등학교,서울 중구 신당동 295-2,37.565196900000004,127.01321661206495
관성묘,서울 중구 황학동 161,37.5675499,127.02172
동대문역사문화공원역 5번,서울 종로구 창신동 204-14,37.57595,127.01313
버티고개,서울 중구 황학동 882,37.5675499,127.02172
다산성곽길,서울 용산구 원효로4가 1-1,37.53211,126.95127
장충동주민센터,서울 용산구 이촌동 199-1,37.52086,126.96612
장충단 고개,서울 용산구 용문동 5-229,37.538097750000006,126.95862107239697
약수역 7번,서울 용산구 효창동 255-5,37.54341,126.96037
한양공고앞 교차로,서울 용산구 한강로2가 314-1,37.53142,126.9685
장충초등학교,서울 용산구 효창동 74-15,37.54341,126.96037
청구역 1번,경남 창원시 성산구 가음동 11,35.2090327,128.6968823
청구역 3번,서울 종로구 관수동 58,37.5688,126.99018
황학동벼룩시장,서울 용산구 서계동 259-3,37.55234,126.96595
신당역 3번,서울 용산구 갈월동 96-1,37.54487,126.9715441
황학코아루아파트,서울 용산구 갈월동 16-7,37.54487,126.9715441
새남터성지,서울 용산구 이촌동 302-48,37.52086,126.96612
효창공원앞역 6번,서울 용산구 원효로1가 44-11,37.537689150000006,126.96732507803657
효창동주민센터,서울 용산구 한강로1가 296-1,37.53517,126.97404
한강로동땡땡거리(은행나무길),서울 중구 입정동,37.5676286,126.9921126
효창공원앞역 5번,서울 용산구 갈월동 96-1,37.54487,126.9715441
효창공원앞역 2번,서울 용산구 한강로1가 121-3,37.53517,126.97404
남정초등학교,서울 용산구 후암동 190-2,37.55011,126.98028
서울역 15번,서울 용산구 이촌동 300-10,37.52086,126.96612
배문고등학교,서울 용산구 후암동 244-109,37.55011,126.98028
남영역 1번,서울 용산구 용산동2가,37.54305,126.98558
숙대입구,서울 용산구 이태원동 34-87,37.53842,126.992
용산세무서,서울 용산구 서빙고동 241-84,37.51769075,126.99123969122317
한강미주맨션아파트,서울 용산구 한강로1가 303-2,37.53517,126.97404
열정도,서울 용산구 이태원동 131-44,37.53842,126.992
삼각지역 3번,서울 용산구 보광동 168-4,37.5267109,127.00021654781031
서울역 12번,서울 용산구 서빙고동 134,37.51769075,126.99123969122317
숙대입구역 1번,서울 용산구 보광동 238-2,37.5267109,127.00021654781031
삼각지역 14번,서울 용산구 한남동 742-1,37.53822,127.0074
삼광초등학교,서울 용산구 보광동 260-7,37.5267109,127.00021654781031
이촌동점보아파트,서울 용산구 한남동 763-7,37.53822,127.0074
후암동주민센터,경기 오산시 청학동 17,37.15203,127.05706
해방촌예술마을,서울 용산구 한남동 726-494,37.53822,127.0074
해방촌 남동측,서울 용산구 한남동 726-111,37.53822,127.0074
용산구청,서울 용산구 한남동 726-1,37.53822,127.0074
서빙고역 1번,서울 용산구 한남동 4-13,37.53822,127.0074
경리단길북측,서울 용산구 한남동 1-320,37.53822,127.0074
경리단길남측,서울 성동구 옥수동 436,37.54176,127.01648
이태원역 북측,서울 성동구 옥수동 227,37.54176,127.01648
이태원엔틱가구거리,서울 성동구 옥수동 401-1,37.54176,127.01648
오산고등학교,서울 성동구 옥수동,37.54176,127.01648
서빙고동주민센터,서울 성동구 금호동3가 1583,37.54998,127.02213
한국폴리텍대학서울정수캠퍼스,서울 성동구 금호동2가 1218,37.55311,127.0211
리움미술관,서울 성동구 금호동1가 48-2,37.55286,127.02393
NH농협은행 보광동지점,서울 성동구 금호동4가,37.54479,127.02339
