ID,데이터분류,상권구분,상권코드,기준년도,기준년분기,상권명,행정동명,행정동코드,방범지수,토지이용지수,상권지수,인구지수,안심상권지수
10014910,상권,관광특구,1001491.0,2021,4,이태원 관광특구,이태원제1동,11170650,Blue,Green,Yellow,Yellow,Blue
10014920,상권,관광특구,1001492.0,2021,4,명동 남대문 북창동 다동 무교동 관광특구,소공동,11140520,Yellow,Blue,Yellow,Green,Yellow
10014930,상권,관광특구,1001493.0,2021,4,동대문패션타운 관광특구,광희동,11140590,Blue,Orange,Yellow,Green,Red
10014940,상권,관광특구,1001494.0,2021,4,종로·청계 관광특구,종로1·2·3·4가동,11110615,Blue,Green,Orange,Orange,Orange
10014950,상권,관광특구,1001495.0,2021,4,잠실 관광특구,오륜동,11710566,Blue,Green,Orange,Green,Green
10014960,상권,관광특구,1001496.0,2021,4,강남 마이스 관광특구,삼성1동,11680580,Blue,Green,Red,Green,Orange
21100010,상권,골목상권,2110001.0,2021,4,이북5도청사,평창동,11110560,Blue,Yellow,Yellow,Orange,Blue
21100020,상권,골목상권,2110002.0,2021,4,독립문역 1번,무악동,11110570,Blue,Yellow,Orange,Yellow,Yellow
21100030,상권,골목상권,2110003.0,2021,4,세검정초등학교,부암동,11110550,Blue,Yellow,Orange,Yellow,Green
21100040,상권,골목상권,2110004.0,2021,4,대신고등학교,무악동,11110570,Blue,Green,Yellow,Yellow,Orange
21100050,상권,골목상권,2110005.0,2021,4,세검정,부암동,11110550,Blue,Yellow,Yellow,Green,Green
21100060,상권,골목상권,2110006.0,2021,4,부암동주민센터,부암동,11110550,Blue,Yellow,Yellow,Yellow,Blue
21100070,상권,골목상권,2110007.0,2021,4,사직공원(한국사회과학도서관),사직동,11110530,Blue,Blue,Orange,Green,Blue
21100080,상권,골목상권,2110008.0,2021,4,배화여자대학교(박노수미술관),청운효자동,11110515,Blue,Green,Orange,Yellow,Green
21100090,상권,골목상권,2110009.0,2021,4,자하문터널,부암동,11110550,Green,Blue,Orange,Yellow,Green
21100100,상권,골목상권,2110010.0,2021,4,평창동서측,평창동,11110560,Blue,Yellow,Red,Orange,Green
21100110,상권,골목상권,2110011.0,2021,4,청운초등학교,청운효자동,11110515,Blue,Green,Yellow,Green,Green
21100120,상권,골목상권,2110012.0,2021,4,성곡미술관,사직동,11110530,Yellow,Blue,Red,Red,Green
21100130,상권,골목상권,2110013.0,2021,4,체부동홍종문가옥,사직동,11110530,Blue,Yellow,Orange,Orange,Yellow
21100140,상권,골목상권,2110014.0,2021,4,경복고등학교,청운효자동,11110515,Green,Blue,Yellow,Yellow,Yellow
21100150,상권,골목상권,2110015.0,2021,4,청와대사랑채,청운효자동,11110515,Blue,Green,Yellow,Green,Yellow
21100160,상권,골목상권,2110016.0,2021,4,평창동동측,평창동,11110560,Green,Yellow,Orange,Green,Green
21100170,상권,골목상권,2110017.0,2021,4,정독도서관,가회동,11110600,Blue,Yellow,Yellow,Yellow,Green
21100180,상권,골목상권,2110018.0,2021,4,중앙고등학교,가회동,11110600,Blue,Orange,Orange,Yellow,Green
21100190,상권,골목상권,2110019.0,2021,4,창덕궁,종로1·2·3·4가동,11110615,Blue,Green,Yellow,Green,Orange
21100200,상권,골목상권,2110020.0,2021,4,서울국제고등학교,혜화동,11110650,Blue,Yellow,Red,Red,Blue
21100210,상권,골목상권,2110021.0,2021,4,성균관대학교,혜화동,11110650,Green,Yellow,Yellow,Yellow,Green
21100220,상권,골목상권,2110022.0,2021,4,경신고등학교,혜화동,11110650,Blue,Green,Yellow,Green,Yellow
21100230,상권,골목상권,2110023.0,2021,4,서울대병원,이화동,11110640,Green,Green,Orange,Red,Orange
21100240,상권,골목상권,2110024.0,2021,4,혜회동주민센터,혜화동,11110650,Green,Green,Red,Yellow,Green
21100250,상권,골목상권,2110025.0,2021,4,충신시장옆,종로5·6가동,11110630,Green,Blue,Yellow,Green,Orange
21100260,상권,골목상권,2110026.0,2021,4,종로5가역 4번,종로5·6가동,11110630,Yellow,Green,Red,Orange,Red
21100270,상권,골목상권,2110027.0,2021,4,혜화역 1번,이화동,11110640,Green,Yellow,Red,Orange,Green
21100280,상권,골목상권,2110028.0,2021,4,이화달팽이길,이화동,11110640,Orange,Blue,Yellow,Yellow,Orange
21100290,상권,골목상권,2110029.0,2021,4,동대문역 1번,창신제2동,11110680,Green,Blue,Red,Green,Blue
21100300,상권,골목상권,2110030.0,2021,4,동대문역 3번,창신제1동,11110670,Green,Yellow,Green,Orange,Green
21100310,상권,골목상권,2110031.0,2021,4,창신역 1번,창신제3동,11110690,Blue,Orange,Yellow,Orange,Yellow
21100320,상권,골목상권,2110032.0,2021,4,수족관거리,창신제1동,11110670,Green,Green,Red,Green,Orange
21100330,상권,골목상권,2110033.0,2021,4,창신역 4번,숭인제1동,11110700,Orange,Blue,Orange,Green,Blue
21100340,상권,골목상권,2110034.0,2021,4,창신1동주민센터,창신제1동,11110670,Green,Yellow,Red,Orange,Yellow
21100350,상권,골목상권,2110035.0,2021,4,동묘앞역 2번,숭인제2동,11110710,Green,Yellow,Red,Yellow,Green
21100360,상권,골목상권,2110036.0,2021,4,동묘앞역 3번,숭인제2동,11110710,Orange,Blue,Orange,Yellow,Green
21100370,상권,골목상권,2110037.0,2021,4,신설동역 12번,숭인제2동,11110710,Green,Green,Red,Red,Yellow
21100380,상권,골목상권,2110038.0,2021,4,경향신문사,소공동,11140520,Green,Yellow,Red,Orange,Red
21100390,상권,골목상권,2110039.0,2021,4,회현역 1번,회현동,11140540,Orange,Blue,Red,Green,Red
